,Season,Team,Avg FG3%,Avg FG%,Avg FT%,AvgTO,avgScore,avgBlk,avgDr,avgAst,avgPf,avgStl,avgOR,Home Win,Neutral Win,Away Win,Wins,Losses,Upsets,Games,AvgWinRank,AvgLossRank,AvgOffRating,AvgDefRating,AvgNetRating,Top 25 Wins,Top 10 Wins
2016_1437,2016,1437,34.36,46.75,77.71,11.12,76.97,3.41,26.35,16.15,17.53,6.74,9.26,15,4,10,29,5,0,34,116.79,14.8,113.38,94.04,19.34,4,1
2016_1438,2016,1438,40.49,48.71,75.4,9.39,70.36,2.94,22.91,14.33,16.36,5.48,8.97,15,6,5,26,7,0,33,97.38,48.71,114.84,97.28,17.56,8,5
2016_1439,2016,1439,35.7,44.9,69.98,12.82,74.58,3.42,24.21,12.18,19.21,5.39,10.36,13,2,4,19,14,7,33,176.47,46.5,105.25,102.17,3.08,2,2
2016_1440,2016,1440,32.54,39.85,71.06,12.85,67.19,3.85,22.3,10.48,19.56,6.07,10.04,5,0,1,6,21,4,27,255.5,164.52,95.81,111.44,-15.63,0,0
2016_1441,2016,1441,32.96,43.05,70.69,14.33,71.3,3.13,23.43,12.17,20.83,7.6,10.83,9,1,3,13,17,2,30,216.92,132.0,100.77,105.22,-4.46,0,0
2016_1442,2016,1442,37.79,43.4,70.97,12.5,68.62,3.25,25.83,12.71,21.12,5.38,8.92,4,0,3,7,17,4,24,209.0,139.88,99.92,107.34,-7.42,0,0
2016_1443,2016,1443,36.24,46.58,70.34,13.25,75.94,3.69,26.53,13.22,18.09,4.12,11.47,10,3,3,16,16,6,32,204.94,152.62,109.22,109.24,-0.02,0,0
2016_1444,2016,1444,33.72,42.44,71.35,12.53,71.87,2.53,25.67,11.47,20.03,5.47,11.23,8,1,2,11,19,8,30,181.55,127.79,102.45,105.27,-2.82,0,0
2016_1447,2016,1447,33.63,42.79,70.67,13.32,70.1,4.13,26.13,13.45,21.84,6.84,13.68,12,0,9,21,10,1,31,274.19,195.8,103.73,94.31,9.42,0,0
2016_1448,2016,1448,31.55,43.96,65.98,14.55,74.03,4.45,26.1,14.0,20.97,5.94,12.16,6,2,3,11,20,5,31,176.64,57.8,102.09,108.99,-6.9,1,0
2016_1449,2016,1449,33.33,42.47,72.31,13.91,83.38,6.72,26.03,14.44,24.03,7.66,13.81,12,3,3,18,14,3,32,153.83,35.14,105.07,101.22,3.85,0,0
2016_1450,2016,1450,34.56,45.39,71.29,14.1,70.43,4.43,25.9,13.67,20.0,4.9,7.93,7,1,0,8,22,3,30,219.0,54.14,97.98,108.43,-10.45,0,0
2016_1451,2016,1451,36.05,47.31,67.72,13.74,74.52,3.32,28.45,13.0,18.1,4.68,8.39,10,7,6,23,8,1,31,249.48,173.38,106.98,98.16,8.82,0,0
2016_1452,2016,1452,32.85,45.22,66.98,14.0,79.21,2.53,23.26,14.76,23.38,9.94,15.91,13,6,7,26,8,2,34,121.42,15.75,110.29,94.48,15.81,6,2
2016_1453,2016,1453,35.03,44.43,65.71,12.09,83.21,4.61,25.76,13.88,19.82,9.27,12.85,9,4,8,21,12,2,33,230.19,116.08,107.28,102.99,4.28,0,0
2016_1454,2016,1454,35.87,44.72,77.53,10.94,77.68,2.52,25.77,16.48,17.29,4.26,9.42,7,4,7,18,13,4,31,238.39,137.38,112.16,105.21,6.95,0,0
2016_1455,2016,1455,32.85,43.29,71.58,9.84,73.13,3.58,25.87,14.32,20.23,7.26,11.61,13,1,9,23,8,1,31,188.39,60.62,109.72,88.85,20.87,1,1
2016_1456,2016,1456,36.72,47.96,72.01,10.86,76.03,4.0,27.69,15.86,16.76,5.34,8.17,10,1,7,18,11,1,29,157.94,110.0,111.3,103.86,7.45,0,0
2016_1457,2016,1457,36.36,46.62,75.11,12.97,80.28,5.24,27.14,11.31,19.1,5.21,8.9,11,2,7,20,9,0,29,250.15,158.56,109.96,104.19,5.78,0,0
2016_1458,2016,1458,35.76,42.96,70.75,10.97,68.88,3.19,23.47,11.59,16.94,5.88,11.44,13,1,6,20,12,5,32,117.65,84.42,106.85,99.58,7.27,3,0
2016_1459,2016,1459,40.88,43.88,75.45,12.03,70.7,1.6,22.9,14.2,19.47,5.17,8.43,9,0,4,13,17,4,30,250.62,134.29,105.74,107.71,-1.98,0,0
2016_1460,2016,1460,37.82,44.46,69.08,11.24,68.64,1.97,24.58,13.55,22.09,5.58,6.3,11,4,5,20,13,4,33,216.5,154.62,100.57,98.03,2.54,0,0
2016_1461,2016,1461,37.17,43.61,71.43,11.4,70.33,2.67,24.77,11.83,18.87,3.93,5.77,8,0,4,12,18,8,30,179.58,129.33,105.39,107.93,-2.54,0,0
2016_1462,2016,1462,36.16,45.2,73.08,12.75,81.34,3.06,27.94,16.38,20.19,7.31,13.06,15,4,8,27,5,1,32,120.11,49.6,112.23,97.3,14.93,3,1
2016_1463,2016,1463,37.12,46.73,66.67,13.48,74.48,4.52,26.81,15.07,17.96,5.59,13.48,11,1,9,21,6,1,27,228.76,62.83,110.8,94.21,16.59,0,0
2016_1464,2016,1464,36.98,42.53,71.38,11.73,75.63,2.53,24.73,14.33,18.4,6.0,8.77,4,1,4,9,21,3,30,257.78,151.9,100.15,114.01,-13.85,0,0
2017_1101,2017,1101,37.11,45.84,64.22,14.48,67.88,2.76,22.88,13.6,22.16,7.0,7.56,5,0,4,9,16,6,25,224.67,222.88,98.19,105.16,-6.97,0,0
2017_1102,2017,1102,36.28,42.79,71.65,12.48,71.55,1.81,25.26,14.48,17.9,5.9,9.45,9,1,0,10,21,7,31,209.1,124.29,102.68,108.56,-5.88,0,0
2017_1103,2017,1103,36.96,46.66,67.79,11.64,76.67,3.12,24.58,14.52,18.36,5.42,9.82,12,6,7,25,8,0,33,194.48,151.75,112.72,105.0,7.72,0,0
2017_1104,2017,1104,31.78,42.38,64.95,13.88,68.67,4.21,26.88,11.42,19.73,6.0,12.3,10,4,5,19,14,5,33,166.26,59.57,100.6,94.15,6.45,0,0
2017_1105,2017,1105,27.35,40.26,66.61,13.24,61.86,1.79,21.86,11.38,18.14,3.55,10.31,1,0,1,2,27,2,29,320.5,260.3,92.54,117.48,-24.94,0,0
2017_1106,2017,1106,29.43,38.93,63.41,15.57,65.57,3.0,24.5,9.47,20.43,4.87,13.9,5,1,1,7,23,4,30,326.86,220.7,93.08,106.39,-13.32,0,0
2017_1107,2017,1107,36.85,46.75,76.3,11.88,71.03,1.7,24.45,12.58,17.85,5.12,10.64,10,1,9,20,13,3,33,257.8,122.08,108.88,102.24,6.64,0,0
2017_1108,2017,1108,31.99,42.25,65.69,14.07,67.66,3.28,25.9,12.41,19.24,6.31,11.79,8,1,6,15,14,0,29,331.53,157.93,98.48,99.93,-1.45,0,0
2017_1110,2017,1110,31.76,44.88,61.81,13.2,61.5,2.43,22.13,11.3,18.3,6.97,6.8,4,0,4,8,22,6,30,269.38,174.09,94.33,104.53,-10.2,0,0
2017_1111,2017,1111,32.65,40.62,67.54,13.93,70.46,2.79,25.39,12.75,21.86,5.04,11.21,6,0,1,7,21,6,28,199.43,153.9,98.08,108.38,-10.3,0,0
2017_1112,2017,1112,39.76,47.57,75.78,11.44,76.26,3.24,26.47,13.79,16.97,5.5,10.29,15,6,9,30,4,0,34,120.97,12.0,113.63,96.89,16.74,3,1
2017_1113,2017,1113,36.61,43.38,74.89,10.42,78.58,3.21,23.42,13.03,16.91,5.88,9.21,9,2,4,15,18,6,33,195.73,53.83,107.7,112.23,-4.53,0,0
2017_1114,2017,1114,33.82,43.36,73.67,12.9,66.37,3.63,23.17,11.4,18.23,5.73,9.5,7,2,4,13,17,6,30,247.69,154.24,100.02,104.12,-4.1,0,0
2017_1115,2017,1115,34.45,39.89,64.9,17.93,60.67,2.7,20.6,10.03,22.47,8.5,10.47,5,0,1,6,24,4,30,334.17,222.75,87.57,105.89,-18.31,0,0
2017_1116,2017,1116,36.39,46.09,76.2,11.74,79.79,4.74,24.94,14.09,20.59,7.53,11.32,15,4,6,25,9,0,34,125.64,58.89,111.16,103.97,7.19,0,0
2017_1117,2017,1117,37.75,45.8,63.55,12.81,72.45,2.58,25.23,12.29,20.32,5.13,10.81,11,1,7,19,12,5,31,208.0,148.25,105.68,100.67,5.01,0,0
2017_1119,2017,1119,35.11,43.99,65.95,14.97,72.03,1.84,27.58,16.0,19.42,5.39,9.58,8,0,4,12,19,6,31,266.67,167.11,99.26,100.65,-1.4,0,0
2017_1120,2017,1120,36.63,43.73,67.22,13.56,80.41,5.06,25.06,13.16,21.0,7.38,11.53,10,2,6,18,14,4,32,169.72,74.79,105.79,105.52,0.27,0,0
2017_1122,2017,1122,35.19,45.86,71.71,12.57,76.5,2.5,22.29,10.32,18.39,5.14,8.21,3,2,4,9,19,4,28,252.11,172.0,105.41,117.57,-12.16,0,0
2017_1123,2017,1123,37.58,45.98,72.3,14.88,78.28,3.53,27.69,15.16,19.78,5.88,9.78,10,3,7,20,12,3,32,232.6,145.5,105.92,102.58,3.35,0,0
2017_1124,2017,1124,35.34,46.67,71.16,13.42,71.61,4.87,24.94,15.48,17.68,5.13,12.68,14,4,6,24,7,2,31,108.96,41.14,110.56,97.87,12.7,5,2
2017_1125,2017,1125,33.67,47.28,77.2,12.74,76.7,2.56,26.41,16.04,17.59,4.44,8.11,11,0,10,21,6,0,27,223.43,90.33,110.72,101.01,9.71,0,0
2017_1126,2017,1126,32.27,41.17,66.1,12.63,70.4,2.8,22.83,13.67,20.77,7.07,12.37,5,1,2,8,22,5,30,312.88,243.95,98.79,109.84,-11.06,0,0
2017_1127,2017,1127,34.41,42.12,69.33,12.48,65.1,2.41,24.41,11.62,17.21,5.03,8.07,5,1,3,9,20,5,29,281.89,180.95,97.15,106.97,-9.82,0,0
2017_1129,2017,1129,35.6,45.01,71.7,12.62,75.52,2.41,25.76,12.41,21.1,4.9,9.48,10,1,7,18,11,3,29,186.72,80.73,107.17,102.46,4.71,1,0
2017_1130,2017,1130,37.43,44.84,67.99,14.59,72.5,2.72,25.78,14.78,18.66,5.59,9.12,8,1,0,9,23,6,32,172.22,74.91,100.08,108.36,-8.28,0,0
2017_1131,2017,1131,35.26,43.9,69.57,14.32,72.52,2.52,25.35,13.65,19.23,8.26,10.03,11,0,6,17,14,4,31,227.71,163.29,101.98,100.44,1.54,0,0
2017_1132,2017,1132,34.09,42.43,66.27,12.68,73.19,2.65,24.55,12.06,19.45,6.84,11.16,9,0,3,12,19,5,31,227.67,147.47,100.09,105.6,-5.5,0,0
2017_1133,2017,1133,35.31,42.24,67.76,15.03,65.41,3.62,26.16,11.28,20.47,5.94,9.06,7,2,3,12,20,6,32,240.0,121.35,95.42,103.22,-7.79,0,0
2017_1135,2017,1135,35.55,43.65,75.8,14.11,74.86,1.79,21.57,13.07,20.21,7.21,9.29,7,0,4,11,17,5,28,291.82,155.47,103.95,110.74,-6.79,0,0
2017_1136,2017,1136,33.72,43.51,72.09,13.52,73.71,2.19,25.03,14.29,21.29,6.71,10.68,8,1,2,11,20,7,31,260.55,200.0,102.28,108.35,-6.07,0,0
2017_1137,2017,1137,37.74,48.13,67.89,13.26,76.15,3.82,25.82,14.62,18.53,7.18,8.62,15,2,9,26,8,1,34,224.96,96.25,108.2,96.07,12.13,0,0
2017_1138,2017,1138,33.04,44.49,68.68,14.57,77.2,3.77,27.87,13.9,23.2,5.73,12.37,7,1,7,15,15,2,30,221.27,120.53,104.7,102.17,2.53,0,0
2017_1139,2017,1139,36.35,47.76,73.97,10.16,76.29,2.81,23.26,13.19,18.94,6.23,8.77,13,3,7,23,8,4,31,97.04,83.62,113.37,101.11,12.25,4,3
2017_1140,2017,1140,34.43,45.66,73.21,13.61,80.36,4.7,31.12,15.64,19.42,6.7,10.52,14,3,5,22,11,2,33,174.23,92.18,106.24,97.91,8.33,1,1
2017_1141,2017,1141,36.44,42.18,79.1,11.43,86.73,2.67,26.4,11.27,19.63,5.17,10.73,8,1,5,14,16,7,30,212.93,168.0,111.24,114.88,-3.65,0,0
2017_1142,2017,1142,33.47,40.19,70.3,10.83,66.83,3.52,22.34,9.97,19.17,5.14,9.45,4,0,5,9,20,6,29,236.67,204.45,98.86,109.37,-10.51,0,0
2017_1143,2017,1143,33.95,42.49,66.33,12.58,68.18,4.61,27.55,12.15,19.03,4.88,11.55,15,3,3,21,12,2,33,162.52,40.75,101.58,94.13,7.46,0,0
2017_1144,2017,1144,35.06,43.98,74.8,12.84,68.87,3.74,24.19,10.48,18.32,6.29,7.81,6,3,5,14,17,5,31,275.21,164.0,101.87,106.48,-4.61,0,0
2017_1145,2017,1145,37.44,45.43,73.43,13.21,78.52,1.91,22.3,17.55,19.52,6.76,10.85,7,2,9,18,15,7,33,200.89,167.33,108.53,107.8,0.73,0,0
2017_1146,2017,1146,37.46,43.72,71.76,13.94,74.84,2.62,25.41,14.53,18.94,5.56,10.53,5,1,2,8,24,8,32,253.0,181.71,101.76,115.83,-14.07,0,0
2017_1148,2017,1148,35.1,42.13,61.99,14.24,63.0,2.34,21.79,11.72,18.62,5.72,11.45,3,0,3,6,23,5,29,271.5,243.7,94.18,108.34,-14.16,0,0
2017_1149,2017,1149,33.33,42.78,67.7,11.32,71.89,2.75,23.61,10.29,20.32,5.04,10.25,6,0,3,9,19,4,28,302.33,148.53,102.99,111.84,-8.85,0,0
2017_1150,2017,1150,37.48,44.03,74.58,11.97,75.66,2.93,24.97,11.9,19.38,6.31,7.38,9,0,3,12,17,4,29,265.25,139.71,101.88,107.27,-5.39,0,0
2017_1151,2017,1151,33.06,45.56,71.29,13.38,72.59,4.55,21.41,11.72,18.62,7.38,10.45,9,1,7,17,12,4,29,204.88,135.75,106.46,103.1,3.36,0,0
2017_1152,2017,1152,30.41,37.05,70.89,13.83,62.48,2.03,24.03,10.14,19.31,6.24,10.52,0,1,2,3,26,2,29,268.0,160.23,88.01,112.01,-24.0,0,0
2017_1153,2017,1153,34.33,45.44,68.29,10.0,74.47,5.09,24.79,15.82,15.97,7.47,12.41,18,3,8,29,5,0,34,152.52,28.2,112.06,93.08,18.98,2,0
2017_1154,2017,1154,33.86,40.95,74.45,14.07,85.17,2.37,23.33,15.87,22.37,8.23,12.3,5,1,3,9,21,5,30,255.22,143.33,104.4,116.17,-11.77,0,0
2017_1155,2017,1155,35.75,45.14,72.82,10.75,74.97,3.84,23.03,12.44,15.28,7.09,11.06,11,3,3,17,15,5,32,130.71,41.93,110.52,105.24,5.28,0,0
2017_1156,2017,1156,30.71,40.37,68.38,13.1,66.8,3.0,21.93,10.57,20.73,7.13,10.9,6,0,2,8,22,6,30,230.38,143.77,96.23,102.84,-6.61,0,0
2017_1157,2017,1157,33.46,41.81,65.13,12.81,70.77,2.65,27.52,11.84,18.48,5.35,11.71,9,2,3,14,17,5,31,213.86,113.82,100.86,105.17,-4.31,0,0
2017_1158,2017,1158,33.39,43.46,74.24,10.45,69.18,3.39,25.52,10.21,17.21,5.61,8.39,12,2,10,24,9,1,33,190.25,77.0,105.38,98.28,7.1,0,0
2017_1159,2017,1159,36.14,43.7,67.82,14.87,66.26,2.55,24.23,12.77,18.87,5.13,8.16,3,0,6,9,22,7,31,250.22,185.59,97.55,105.3,-7.76,0,0
2017_1160,2017,1160,35.44,44.68,69.99,12.19,75.41,4.34,25.62,13.88,18.5,5.03,11.91,12,2,4,18,14,3,32,180.56,67.14,108.58,103.53,5.05,1,1
2017_1161,2017,1161,34.53,42.11,72.9,10.88,71.56,3.44,26.91,10.75,17.47,6.0,11.25,12,2,7,21,11,1,32,175.67,83.55,106.21,98.54,7.67,0,0
2017_1162,2017,1162,35.92,43.08,71.11,13.0,71.38,3.0,24.62,15.27,18.81,6.85,10.23,6,0,4,10,16,3,26,260.6,164.81,100.92,105.23,-4.32,0,0
2017_1163,2017,1163,35.36,42.36,71.64,12.28,66.47,5.31,26.34,12.88,17.5,4.41,10.22,10,1,4,15,17,4,32,178.93,80.88,101.52,100.34,1.18,0,0
2017_1164,2017,1164,31.65,37.88,63.68,13.47,65.23,2.3,23.1,10.13,20.53,5.67,11.37,4,0,3,7,23,3,30,327.57,202.39,92.33,111.58,-19.25,0,0
2017_1165,2017,1165,33.33,44.82,69.81,14.32,70.5,2.61,25.71,14.0,18.32,5.11,7.39,2,1,4,7,21,2,28,269.43,156.1,98.79,108.36,-9.57,0,0
2017_1166,2017,1166,40.08,50.8,68.35,12.48,81.55,2.94,26.33,17.24,16.64,6.15,7.94,12,5,7,24,9,2,33,125.08,41.0,111.6,100.92,10.68,2,0
2017_1167,2017,1167,32.16,42.77,63.17,14.75,68.82,4.07,26.11,13.86,22.39,8.25,12.18,9,2,8,19,9,1,28,238.42,101.33,97.97,90.47,7.49,0,0
2017_1168,2017,1168,31.18,44.01,69.99,15.21,72.38,3.48,25.17,11.41,21.38,7.03,10.66,10,1,4,15,14,6,29,271.73,217.43,99.54,100.72,-1.18,0,0
2017_1169,2017,1169,33.68,45.71,74.07,13.21,76.79,2.75,24.39,13.04,21.29,7.0,9.61,6,0,4,10,18,4,28,290.8,179.06,104.1,109.1,-4.99,0,0
2017_1170,2017,1170,31.03,45.26,66.07,11.52,70.38,4.34,24.93,12.66,18.66,4.72,9.66,6,1,4,11,18,6,29,275.0,195.22,102.74,109.95,-7.21,0,0
2017_1171,2017,1171,35.35,43.19,70.91,14.85,67.11,1.81,24.7,11.44,18.3,4.67,9.22,3,0,4,7,20,7,27,226.0,183.95,98.03,109.25,-11.22,0,0
2017_1172,2017,1172,34.11,43.74,75.3,12.19,73.81,3.31,27.0,15.62,18.22,5.09,8.91,8,4,5,17,15,2,32,189.82,66.67,105.29,102.66,2.63,1,0
2017_1173,2017,1173,38.67,46.75,69.12,11.9,75.97,3.8,25.9,15.73,18.8,7.4,8.57,14,2,7,23,7,1,30,141.43,83.0,109.34,95.93,13.42,1,0
2017_1174,2017,1174,30.03,41.57,68.52,11.9,64.81,3.1,24.81,11.42,19.13,5.35,9.77,7,1,3,11,20,5,31,229.73,128.8,97.25,110.59,-13.34,0,0
2017_1175,2017,1175,35.06,40.92,66.28,13.47,66.37,2.67,21.6,12.87,19.4,5.37,10.53,2,0,6,8,22,3,30,300.12,232.14,96.89,110.27,-13.38,0,0
2017_1176,2017,1176,40.18,48.19,73.41,13.47,75.83,2.13,26.17,15.07,20.1,5.0,9.1,8,1,7,16,14,5,30,250.56,158.14,108.92,107.49,1.43,0,0
2017_1177,2017,1177,32.62,42.96,73.52,14.09,68.94,2.88,22.41,11.41,19.81,6.66,10.59,8,0,1,9,23,4,32,223.0,79.0,99.5,108.25,-8.75,0,0
2017_1178,2017,1178,37.0,44.3,66.72,14.73,76.27,2.5,23.03,12.7,24.17,6.57,10.03,4,0,3,7,23,7,30,216.43,155.48,100.99,113.61,-12.62,0,0
2017_1179,2017,1179,34.51,40.71,75.59,12.55,71.14,2.48,24.28,12.93,18.24,6.14,10.07,5,0,1,6,23,5,29,215.17,149.35,99.98,109.64,-9.66,0,0
2017_1180,2017,1180,34.86,43.5,66.72,13.42,74.61,3.03,24.61,14.39,20.52,5.9,11.61,4,0,4,8,23,5,31,254.25,151.65,102.52,109.67,-7.15,0,0
2017_1181,2017,1181,37.6,47.68,75.82,11.29,80.66,4.49,25.86,13.09,18.06,5.91,10.46,15,9,3,27,8,2,35,97.93,43.0,115.87,100.02,15.86,8,4
2017_1182,2017,1182,33.38,42.78,67.65,14.19,70.5,3.97,25.75,12.53,18.66,4.91,10.72,8,1,1,10,22,7,32,240.8,120.05,99.53,104.82,-5.29,0,0
2017_1183,2017,1183,36.62,40.87,75.0,12.7,73.52,3.85,24.85,14.7,19.7,6.44,11.67,6,0,6,12,15,8,27,245.17,209.07,101.43,102.27,-0.84,0,0
2017_1184,2017,1184,32.3,42.66,71.17,14.17,70.17,3.62,23.17,13.28,19.72,5.72,8.76,6,1,3,10,19,5,29,237.6,162.32,98.22,107.92,-9.7,0,0
2017_1185,2017,1185,33.64,43.58,72.12,12.1,74.93,4.07,22.66,12.9,22.21,8.9,12.55,6,1,5,12,17,3,29,212.67,122.24,106.13,106.1,0.04,0,0
2017_1186,2017,1186,36.61,47.4,76.57,12.23,78.74,4.77,26.52,12.03,20.32,4.52,9.23,13,1,6,20,11,1,31,263.2,159.55,110.75,108.46,2.28,0,0
2017_1187,2017,1187,32.04,39.84,65.68,13.91,63.27,5.18,26.67,11.94,16.7,5.09,11.21,12,2,1,15,18,5,33,257.47,92.39,94.64,98.37,-3.73,0,0
2017_1188,2017,1188,29.17,40.81,67.77,14.5,68.39,2.64,23.54,10.32,22.21,4.82,11.82,2,1,2,5,23,5,28,239.0,196.87,95.56,108.22,-12.66,0,0
2017_1189,2017,1189,35.66,43.96,69.69,11.67,73.77,2.37,28.4,14.17,16.57,4.87,8.7,8,2,6,16,14,5,30,214.31,124.5,104.5,102.62,1.88,0,0
2017_1190,2017,1190,38.22,49.41,69.78,14.94,79.59,4.88,26.16,14.84,20.34,8.59,9.59,11,6,8,25,7,0,32,207.6,87.86,109.44,96.68,12.76,0,0
2017_1191,2017,1191,36.94,45.25,71.14,12.19,68.94,2.87,25.19,13.03,20.39,5.13,8.94,11,1,2,14,17,4,31,209.71,121.94,101.88,102.49,-0.61,0,0
2017_1192,2017,1192,32.65,43.65,77.27,13.31,71.97,2.34,22.72,11.97,21.38,6.24,9.52,6,1,3,10,19,5,29,282.5,185.0,102.54,108.01,-5.47,0,0
2017_1193,2017,1193,33.51,44.13,68.2,13.43,72.27,3.0,27.23,14.8,18.33,5.37,8.8,7,1,8,16,14,2,30,243.06,134.14,100.06,101.07,-1.01,0,0
2017_1194,2017,1194,31.31,40.55,70.46,11.75,69.04,2.93,24.64,11.79,19.21,5.29,10.46,3,0,5,8,20,4,28,256.75,177.3,97.66,106.55,-8.89,0,0
2017_1195,2017,1195,33.94,48.65,69.54,12.33,76.43,3.37,25.63,14.0,18.93,5.27,11.3,13,0,10,23,7,1,30,241.13,106.86,111.79,103.02,8.77,0,0
2017_1196,2017,1196,36.2,44.96,72.64,11.81,78.28,4.84,25.78,12.62,18.59,7.56,11.56,9,7,8,24,8,1,32,109.88,23.62,110.46,93.28,17.18,1,1
2017_1197,2017,1197,33.94,41.47,65.76,13.32,69.96,3.25,24.07,12.25,18.86,5.96,10.29,2,0,3,5,23,4,28,338.8,266.13,96.03,110.44,-14.41,0,0
2017_1198,2017,1198,32.36,44.68,75.58,13.03,69.41,2.24,23.45,11.03,18.69,5.86,9.97,4,0,1,5,24,4,29,252.8,195.38,101.82,109.56,-7.75,0,0
2017_1199,2017,1199,35.64,48.33,69.19,11.82,82.45,5.09,25.94,14.7,19.42,7.36,11.79,18,4,3,25,8,3,33,108.88,57.0,113.36,99.01,14.35,6,3
2017_1200,2017,1200,33.16,41.08,73.09,13.23,64.16,2.9,20.32,13.03,19.19,9.77,8.16,7,0,5,12,19,8,31,181.0,133.74,95.33,99.82,-4.49,1,0
2017_1201,2017,1201,35.34,45.12,67.87,13.37,73.3,3.7,25.77,12.3,22.1,8.27,9.5,11,1,6,18,12,5,30,165.72,125.5,102.67,98.9,3.78,0,0
2017_1202,2017,1202,38.32,46.97,69.87,12.93,72.7,2.43,24.97,14.5,18.03,6.57,8.8,9,0,10,19,11,2,30,211.11,138.0,108.18,100.25,7.93,0,0
2017_1203,2017,1203,37.14,42.13,75.04,13.12,69.79,3.88,25.45,13.27,15.52,5.39,11.45,13,1,5,19,14,4,33,188.47,82.07,104.79,103.55,1.24,0,0
2017_1204,2017,1204,37.13,44.03,67.44,12.03,74.83,3.03,24.57,10.17,20.0,6.47,9.33,8,2,6,16,14,5,30,210.12,140.5,106.09,107.0,-0.91,0,0
2017_1205,2017,1205,37.63,46.55,63.46,14.77,74.87,3.4,26.07,13.57,20.83,8.67,10.9,6,2,8,16,14,2,30,267.06,112.71,103.58,99.45,4.13,0,0
2017_1206,2017,1206,34.32,44.9,74.86,13.22,74.09,2.56,29.12,11.69,16.75,4.91,11.16,9,3,7,19,13,4,32,188.95,91.85,105.5,102.11,3.4,0,0
2017_1207,2017,1207,34.92,46.09,73.23,14.19,74.03,4.59,26.12,15.0,21.0,5.47,9.53,9,2,3,14,18,6,32,141.79,62.44,105.02,102.09,2.93,2,1
2017_1208,2017,1208,32.06,43.72,75.68,13.25,71.25,3.75,27.41,12.59,19.0,5.38,9.81,11,2,5,18,14,1,32,128.28,39.86,101.55,99.82,1.73,0,0
2017_1209,2017,1209,35.31,46.77,64.35,13.97,72.8,4.03,25.23,11.87,20.43,6.77,10.0,9,3,6,18,12,1,30,200.56,139.42,104.45,100.65,3.79,0,0
2017_1210,2017,1210,32.13,43.11,67.75,13.71,66.06,5.97,26.16,14.71,16.48,6.42,9.77,14,0,2,16,15,7,31,156.75,60.2,95.15,96.89,-1.74,4,1
2017_1211,2017,1211,38.19,51.78,73.78,11.3,84.58,4.45,30.94,16.03,16.45,7.15,9.36,15,8,9,32,1,1,33,147.47,65.0,118.72,86.63,32.09,6,2
2017_1212,2017,1212,31.51,42.11,65.86,14.0,68.37,2.3,20.4,10.83,20.03,8.53,12.3,8,1,4,13,17,4,30,321.77,213.53,98.2,106.47,-8.27,0,0
2017_1213,2017,1213,32.98,42.78,66.1,13.03,72.31,2.52,26.52,13.45,17.62,7.38,10.86,13,2,5,20,9,4,29,242.6,121.89,101.04,95.57,5.48,0,0
2017_1214,2017,1214,32.55,40.8,72.06,13.96,68.5,3.79,24.89,11.82,20.68,4.54,11.61,7,0,5,12,16,5,28,294.25,204.0,97.06,101.01,-3.95,0,0
2017_1216,2017,1216,33.85,40.24,69.88,14.44,66.75,3.69,23.56,11.47,18.88,7.12,9.12,6,0,3,9,23,9,32,268.67,198.65,94.11,108.67,-14.57,0,0
2017_1217,2017,1217,35.86,44.92,75.16,13.35,71.69,4.62,25.42,14.12,19.15,6.15,9.85,9,0,7,16,10,4,26,230.19,133.1,105.85,99.97,5.88,0,0
2017_1218,2017,1218,32.11,42.11,72.09,13.93,67.45,1.9,22.45,13.59,18.97,4.86,9.41,10,0,3,13,16,6,29,294.08,164.94,97.93,99.86,-1.93,0,0
2017_1219,2017,1219,37.47,42.54,76.98,13.04,67.96,2.96,24.39,12.0,17.96,5.86,9.61,5,0,7,12,16,5,28,244.67,165.19,100.93,103.89,-2.96,0,0
2017_1220,2017,1220,36.41,44.1,68.1,10.61,76.9,2.29,24.32,12.81,17.13,4.42,11.55,6,2,6,14,17,6,31,209.21,135.18,110.88,111.0,-0.12,0,0
2017_1221,2017,1221,34.45,42.75,69.29,10.97,60.38,2.38,19.44,13.47,16.12,9.44,5.91,9,0,6,15,17,4,32,249.13,156.35,98.27,100.42,-2.16,0,0
2017_1222,2017,1222,39.19,44.66,71.35,9.84,73.65,3.45,24.1,12.65,18.77,5.35,11.42,12,3,6,21,10,2,31,183.71,72.4,111.46,98.08,13.39,0,0
2017_1223,2017,1223,34.06,44.34,72.11,14.12,75.12,2.23,23.92,13.85,19.88,6.04,12.73,9,0,4,13,13,2,26,244.08,164.77,104.83,106.87,-2.04,0,0
2017_1224,2017,1224,29.14,38.86,65.31,14.69,63.16,3.56,24.38,8.97,18.59,5.31,12.28,4,2,2,8,24,6,32,319.25,204.67,92.09,106.45,-14.36,0,0
2017_1225,2017,1225,36.32,43.04,71.06,13.03,72.66,2.52,26.0,12.62,21.72,4.62,10.66,9,1,6,16,13,3,29,270.44,175.92,104.06,103.81,0.25,0,0
2017_1226,2017,1226,35.59,43.35,67.94,13.77,69.6,2.33,22.0,10.0,18.93,7.27,7.6,3,0,1,4,26,3,30,299.0,195.35,97.72,114.77,-17.05,0,0
2017_1227,2017,1227,37.07,43.59,70.8,16.26,75.06,5.13,27.29,13.58,19.35,5.13,11.77,6,2,5,13,18,2,31,266.15,148.28,101.12,104.01,-2.9,0,0
